",""baseMean"",""log2FoldChange"",""lfcSE"",""stat"",""pvalue"",""padj"""
jg33561.t1,23.5311450340877,2.68248908498475,1.40526555740021,1.90888410440191,0.0562770440172855,0.122131802931481
jg26787.t1,1780.24398630106,-0.514713315939775,0.112120590898012,-4.59071176683301,4.41737011305924e-06,3.17092008017086e-05
jg4317.t1,412.039636837038,0.326257982365846,0.579128431799415,0.563360326399667,0.573189546889797,0.713548639035461
jg3588.t1,8237.55143033191,0.161967912289541,0.0830825704878227,1.94948123702168,0.0512379813792453,0.113236288967206
jg14676.t1,116346.980416024,2.13561291001683,0.512743473159947,4.16507088204444,3.11255846086744e-05,0.000185694510512256
jg21450.t1,2.64735269507451,2.92961133163285,2.11601050677916,1.3844975354551,0.166206162217851,0.286267986380899
jg21347.t1,2591.38485585786,0.420266549860391,0.220345732123754,1.90730515090873,0.0564810835837147,0.122452806565974
jg22943.t1,2544.45955698458,0.469965505584363,0.136854847242353,3.43404355091721,0.00059464864675372,0.00255997860702584
jg6024.t1,1.39048876972309,-3.08385790005073,3.36325797539225,-0.916925767400005,0.359181540407581,0.511624970794415
jg963.t1,86.9113078133426,0.565733486677681,0.382712278431875,1.47822141739407,0.139348523098678,0.250133005078707
jg5295.t1,3996.42787426342,0.0521962625037393,0.0759423422894326,0.687314361529806,0.491884650633177,0.641793823597227
jg10832.t1,0.396485585995626,-0.105906563610059,4.30095780585932,-0.0246239485227639,0.980354916930557,NA
jg28494.t1,424.370766804093,-2.05714559494776,0.689264253056523,-2.98455285592632,0.00283993131330492,0.00992254479266351
jg6891.t1,210.33771767346,-11.4668915068287,3.13115631722576,-3.66219068774838,0.000250067602224527,0.0011845350310092
jg17112.t1,5888.3223437281,0.795051162458711,0.136871213581408,5.80875365721683,6.29396166734591e-09,7.53463013626955e-08
jg16383.t1,3.93916606292777,0.47555747471415,1.21943256159977,0.389982594929454,0.696549417244566,0.814009646903109
jg10729.t1,227.656993147565,0.261983871163898,0.357235381852273,0.733364847024686,0.463335933518721,0.61471204889986
jg23054.t1,5536.22267634521,0.587212427704273,0.106721781844989,5.50227345863834,3.74924821092246e-08,3.97860433552792e-07
jg6788.t1,29.4987486839306,-4.06664017974135,0.883770680831725,-4.60146536646158,4.19528922890992e-06,3.03244298175093e-05
jg24650.t1,10.1464360985942,-1.44040375996854,0.764854395675901,-1.88323917351048,0.0596679624585808,0.127998750920803
jg24547.t1,260.30016078314,-3.61120409000841,1.04587582750769,-3.45280385589736,0.000554792249188065,0.00240633181185608
jg31321.t1,115.792598702063,0.79436561718309,0.600644037798576,1.32252310385786,0.185994021138071,0.311858636497692
jg30592.t1,114.209547764794,-0.29714469356006,1.21987721141653,-0.243585740252508,0.807551673326021,0.896596867953925
jg1348.t1,22.1370162235607,-0.0489534750700831,0.588656720480564,-0.0831613287793925,0.933723261351572,0.960959470049908
jg12436.t1,101.676786574484,6.30349367293109,0.889107247590604,7.08968877490647,1.34413936191219e-12,2.61008729463243e-11
jg31218.t1,35.7721270328605,0.371098583675102,0.690423232133045,0.537494346081898,0.590926189332085,0.729336818142738
jg30489.t1,5762.34522342191,-0.325545810608179,1.32461566573755,-0.245766239241111,0.805863192786296,0.895683525017194
jg18090.t1,54179.5246719804,-0.406941211036728,0.190598017396594,-2.13507578197925,0.032754820488725,0.0786062586217417
jg2944.t1,26.1937220398596,-0.212465145286235,1.01971149642309,-0.208358095433379,0.834949373253417,0.905690989378101
jg8495.t1,1613.40743692434,-0.0632688492701982,0.192403483398943,-0.328834219383711,0.742280996789695,0.848804370636591
