"""GeneID"",""baseMean"",""log2FoldChange"",""lfcSE"",""pvalue"",""padj"""
jg21122.t1,26720.9105677986,-20.7412444140904,4.03367786234064,1.30575252335556e-65,4.91925082219952e-63
jg27366.t1,10673.4922007649,-19.3256734078643,3.89408463655438,6.00770739671256e-61,1.97715722049051e-58
jg23965.t1,6914.34481888434,-18.6356097511511,3.84529589436202,3.80735794589962e-52,8.58364352023605e-50
jg3882.t1,5295.86838312591,-18.0010304562236,4.0326020420212,5.40659535725778e-22,2.44166621875402e-20
jg3876.t1,4467.06358812704,-17.7788282438459,3.96133421439965,3.72014455028473e-24,1.94824965063483e-22
jg24128.t1,3709.6725720697,-17.4838997805556,3.93652536224407,NA,NA
jg33051.t1,2496.71410821344,-17.0110261518081,3.7219895180052,7.60947316168958e-38,9.19301415888169e-36
jg17114.t1,2374.67459576098,-16.947596396469,3.69794593617587,1.17900250179299e-40,1.60748569673033e-38
jg23581.t1,2718.14298409957,-16.921508314061,3.92779822319205,2.37969333737993e-19,8.57548333232119e-18
jg11760.t1,2413.15573475695,-16.9076912264221,3.72134519109818,8.90972333493468e-33,8.17638456813621e-31
jg26973.t1,2121.36774902904,-16.7633289082285,3.61924389420894,4.05107944364113e-45,6.66612107070878e-43
jg1641.t1,1967.7675318295,-16.5907241964665,3.70917732896465,4.60173038596732e-31,3.85253638628703e-29
jg21518.t1,1517.79702058166,-16.1976869463238,3.64052170767,7.31593280857209e-33,6.80096714854013e-31
jg19981.t1,1402.76551474486,-16.1353069393901,3.59740517562566,6.98970852744686e-41,9.66808379506564e-39
jg22587.t1,1579.74406086479,-16.0788910358524,3.85925724548751,5.7128197704231e-18,1.82555196056645e-16
jg12984.t1,1243.17948326907,-15.7520835682493,3.77166553441404,1.37835549923531e-19,5.05962495565453e-18
jg13488.t1,1117.05807842388,-15.7287294099979,3.53347181836323,2.24537691746297e-36,2.54109216999209e-34
jg33543.t1,1141.18241052765,-15.7149802082787,3.62209268076869,1.33323470063271e-27,8.73528053741778e-26
jg15558.t1,1014.9071908794,-15.6264457338494,3.54212014455477,2.9440290115986e-39,3.77997482780677e-37
jg27420.t1,1006.59170902777,-15.6123589994719,3.54229422699916,7.01627398057996e-39,8.92844251608736e-37
jg11143.t1,1003.0066349131,-15.5571486009555,3.57321924234013,1.05124906676127e-31,9.28992693811994e-30
jg22589.t1,904.825430545059,-15.3886671843393,3.56690529660874,5.28819940891664e-30,4.09220879665139e-28
jg5665.t1,1028.05616166176,-15.3863746078132,3.79479148404253,1.33792088062297e-16,3.80788773896588e-15
jg850.t1,1094.92291728739,-15.3784223339085,3.91867317450513,1.32055770570203e-13,2.79661303473821e-12
jg8714.t1,882.950468245209,-15.1831786240915,3.73864695633323,1.51030966479044e-17,4.69524281457978e-16
jg8935.t1,771.798221836367,-15.1534881133749,3.4582214499505,5.54311349168844e-36,6.1278156561399e-34
jg22137.t1,706.764111332015,-15.0352222575158,3.50096324286134,2.20063141354546e-33,2.10730697768005e-31
jg8885.t1,730.577410831019,-15.0309729469353,3.55202505371892,8.80365048427797e-27,5.50362708877395e-25
jg13269.t1,694.919798995735,-15.0065442441211,3.49906917769562,4.0888478308458e-33,3.86375878193984e-31
jg13268.t1,696.626137120138,-14.9953967441076,3.50163978829936,1.130789758687e-31,9.9620838063773e-30
jg849.t1,804.539834558229,-14.8600994360692,3.88251624635232,1.33998031092898e-12,2.49780704834104e-11
jg24992.t1,717.894024480915,-14.789131539384,3.76809375953569,7.83898446466741e-15,1.8797805962509e-13
jg23966.t1,611.807908389614,-14.7851805292194,3.49335666589348,6.28407622530225e-30,4.84974853053515e-28
jg13485.t1,619.500418704526,-14.7726445819351,3.51370213295693,9.58781192911876e-27,5.96778763379409e-25
jg12147.t1,603.152624205042,-14.7712377048995,3.44663161103174,2.09420490198326e-33,2.01889813985133e-31
jg4483.t1,699.18750629518,-14.7594548287008,3.74393501149423,2.96365643458364e-15,7.3851532667536e-14
jg17145.t1,587.99911187725,-14.7469489872939,3.4387830449229,4.55339947308443e-35,4.88288141248515e-33
jg17105.t1,582.773905992271,-14.7272396423314,3.45574740895494,4.85759776722386e-33,4.57509010760374e-31
